Date;ITSA4.SA;ALOS3.SA;CSAN3.SA;USIM5.SA;BBAS3.SA;B3SA3.SA;UGPA3.SA;BEEF3.SA;BPAC11.SA;BRKM5.SA;CMIG4.SA;KLBN11.SA;ITUB4.SA;VBBR3.SA;BBDC4.SA;LREN3.SA;AXIA3.SA;MGLU3.SA;WEGE3.SA;COGN3.SA;SLCE3.SA;Retorno_IBOV_Simples
2021-03-25;0,020895828;0,013222426;0,013312767;-0,003653964;0,014413324;0,018345518;0,035971273;-0,015075476;0,010675553;0,011515851;0,031509338;-0,005226414;0,017666455;0,046030887;0,022273685;0,04791005;0,049550867;-0,003436476;0,007799519;0,02835051;0,001937086;0,015044974
2021-03-26;0,011627684;-0,009321429;-0,01400643;0,013447411;0,003382607;0,004276845;0,037698275;0,003061148;-0,010993835;0,003706565;-0,000803985;-0,001400999;0,017052742;-0,008531352;0,006761466;-0,020760684;-0,003540726;-0,015763574;0,023497797;-0,045112696;0,026341292;0,009063736
2021-03-29;-0,003860933;-0,007151;-0,011012126;0,005428231;0,004720464;-0,005483312;0,004302287;0,065106925;-0,000762879;0,031390165;0,029766775;0,004208995;-0,00035616;-0,018115931;0,004103973;-0,011671891;-0,018655674;-0,016516501;-0,00833754;-0,010498691;0,027784233;0,005558411
2021-03-30;0,014534864;0,057240644;0,030397603;0,011997665;0,030872342;-0,001865717;0,01475467;-0,010506304;0,062493042;0,042966623;0,011718568;-0,010827531;0,016393857;0,026291292;0,016722937;0,058568074;0,000301876;0,020865313;0,040915879;0,023872557;-0,017411237;0,012398305
2021-03-31;-0,014326629;-0,013266501;-0,01210291;0,01363364;-0,008789099;0,0209348;-0,005159519;-0,015444013;-0,003797906;-0,026728652;0,006177543;-0,024364595;-0,019284921;-0,007640247;-0,02156457;-0,030282458;0,033785772;0,008972917;-0,006529436;0,031088098;0,040802216;-0,001848524
2021-04-01;-0,021317753;-0,007994236;0,015641998;-0,028654893;-0,016420365;-0,018491607;-0,019801821;0;-0,025759847;0,021919855;-0,019954077;0,015200673;-0,030585291;0,00769907;-0,036607842;0,007748442;-0,019258786;0,00988144;0,006706119;-0,035175649;0,047714906;-0,011840458
2021-04-05;0,012871164;0,010989024;-0,004092538;0,027092061;-0,001335537;0,013244136;0,014910805;0,003921626;0,041248037;0,024408308;-0,020359999;0,001069812;0,0129156;0,020224743;0,009272832;0,010251446;0,030943218;-0,000978475;0,024646805;0,059895828;-0,024802194;0,019652417
2021-04-06;-0,00977531;-0,007246242;-0,015139975;0,034583739;-0,012036096;0,013807026;-0,004739361;-0,005859345;0,00172672;0,014681112;0,012789423;0,018518448;-0,011657698;-0,016299546;-0,015763272;0,010839505;0,010100867;0,008814903;0,002470514;-0,00491404;0,023898251;-0,000161677
2021-04-07;-0,000987264;-0,01240897;-0,012078671;0,014164399;-0,006429864;-0,002178936;-0,007142745;0,042239776;0,001825233;0,059534983;0,001578781;0,008041687;-0,008846375;-0,008508684;-0,010937267;-0,015970784;0,019428444;-0,020388385;-0,012191768;-0,012345769;-0,015845808;0,001063839
2021-04-08;-0,002964166;-0,016259825;-0,003556697;0,037430165;-0,008514845;0,016378236;0,005275704;0,011309914;0,00981762;-0,014998758;0,000788217;0,01214031;-0,007809568;0,0094852;-0,00315948;-0,016229924;0,008688569;0,082755217;0,003938982;0,012500092;0,00718013;0,005857648
2021-04-09;-0,004955518;0,016153137;-0,005130919;0,033925711;0,002747957;-0,011280037;-0,024331905;0,007455951;-0,012228084;-0,014318279;-0,009448686;0,008910131;-0,00149906;-0,022371543;-0,00158478;-0,021918404;-0,015004199;-0,008238001;-0,012424933;0,014814646;0,026571569;-0,005434737
2021-04-12;0,016932356;-0,005175689;0,009081425;0,010937426;0,012333173;0,009959905;0,010757853;0,051803755;0,007103083;0,078164595;0,003974406;0,017323637;0,024774352;0,02654465;0,01865036;-0,010361503;-0,020028306;-0,000922937;0;-0,004866216;0,024410817;0,009705108
2021-04-13;-0,001959056;0,006317152;-0,001444255;0,028851056;0;-0,008427087;0,012094855;-0,007515295;-0,00654902;0,003207897;0,015043508;0,000333662;-0,000366009;0,019616372;-0,006621749;0,0107135;0,000575682;0,025404161;-0,007018686;0,058679871;-0,01355781;0,004082079
2021-04-14;0,006869606;-0,02547975;0,003226861;0,042063287;0,00169221;-0,004882602;-0,000956124;0,038642783;0,009939132;-0,001065848;0,009360244;-0,008678063;0,012825021;0,004810088;0,011764201;-0,000481589;-0,01093193;-0,00360361;0,016670926;-0,046189391;-0,00499802;0,008365676
2021-04-15;0;0,016673084;0,009982071;0,009130112;0,001351519;-0,008540779;0,010526346;0,016333824;-0,003514849;0,035424764;-0,008500592;0,011784391;0;0,016101005;0;0,010122609;-0,005235657;0,003616643;0,027154821;-0,004842718;0,032858845;0,003375036
2021-04-16;0,003898564;0,019008404;-0,002855167;0,027142746;0,0043857;0,015395816;-0,001420694;-0,042857048;0,026504132;0,030090678;0,005455915;-0,017304621;0,011216058;-0,008269506;0,011627994;0,127988061;0,0394737;-0,012612474;-0,015964062;0,019464728;-0,010739503;0,003421678
2021-04-19;-0,009708787;0,025969238;-0,009471308;-0,006490416;-0,005038545;-0,018772575;0,009009337;0,004664199;-0,020714797;0,056222435;0,00775198;0,010498119;-0,015026885;0,025925453;-0,004521216;-0,035607752;-0,014345929;-0,01231766;-0,01622327;-0,021479605;0,028062338;-0,001486203
2021-04-20;0,001961068;-0,014616622;0,02946405;-0,016332263;0,016205279;-0,011773322;-0,004229563;0,012070431;-0,014536184;-0,019700699;0,038461401;0,008377779;-0,005085523;0,030685913;-0,015241267;-0,040459827;0,005707793;-0,002309432;-0,025461875;-0,026829396;-0,009165277;-0,007210545
2021-04-22;0;-0,033647069;0,008100248;0,053605213;-0,008970323;-0,006887631;-0,008966405;0;-0,007223142;-0,018164204;-0,003703492;-0,026254488;0,000364915;-0,023642614;-0,006878737;-0,059907788;0,013620725;-0,020833328;-0,013402149;-0,007518572;0,014880338;-0,00575536
2021-04-23;0,009784692;0,002620741;-0,024855382;-0,002701453;0,008045647;0,006935399;-0,001428633;-0,012844051;0,018137383;0,035622842;0,003717259;-0,005802006;0,004744871;0,018385791;0,018614536;0,000490506;0,027995675;0,027423131;0,031970343;0;0;0,009709226
2021-04-26;-0,004844895;0,009708815;-0,009668227;0,03566601;0,000997843;-0,013216631;0,005245874;-0,008364203;0,02495958;0,026225799;-0,003703492;-0,005492713;-0,000726442;0,000440351;0,000850008;0,016648144;0,013888827;-0,000920306;-0,007710999;0,007575529;-0,012482678;0,000539285
2021-04-27;-0,02142181;-0,024408523;-0,002440582;0,006538819;-0,010963551;-0,001131773;-0,034155625;-0,041237245;0,027494203;0,038888793;-0,00892194;0,010700852;-0,015267335;-0,019806597;-0,008917343;-0,025566837;-0,028471744;-0,035006886;-0,008174371;-0,007518572;0,011637293;-0,010008707
2021-04-28;0,037024419;0,021607516;0,016459038;-0,007362608;0,017803048;0,012275382;0,027504852;-0,024437816;0,017106365;-0,015507926;0,058514576;-0,036885259;0,043519272;0,021104927;0,053555997;-0,009901206;0,044114527;-0,014319833;-0,013779805;0,010100871;-0,002578269;0,013946125
2021-04-29;-0,023076746;-0,017722136;0,001312917;0;-0,021781815;-0,019589394;0,018164252;-0,013026018;-0,001879135;0,021003029;-0,005669679;0;-0,031549016;0,000439535;-0,033346443;-0,000749758;-0,014417861;-0,018886187;-0,027671193;-0,017499918;0,025849945;-0,008153453
2021-04-30;-0,009842382;-0,022095203;-0,015952869;-0,014835878;0;-0,019981067;-0,00892004;-0,01725882;0,007248359;-0,068983802;-0,013542372;-0,01134771;0,007686779;-0,010549019;0,003366211;0,010758045;0,01545665;-0,011352482;-0,013525012;-0,015267287;-0,034383064;-0,009761298
2021-05-03;0,012922485;0,032723093;0,009327167;-0,032071278;0,003710852;-0,00019406;0,021790601;0,027892424;0,045700941;-0,046857151;0,019867768;-0,012553676;0,01399205;0,017769462;0,029768519;0,014851288;0,000271878;0,007488735;-0,015995755;-0,002584071;0,041196959;0,002649419
2021-05-04;-0,026496536;-0,008298575;-0,028602767;0,008743586;-0,012772801;-0,015925504;-0,012517513;0,011055368;-0,038788133;-0,008793044;-0,012396522;-0,005448531;-0,042652521;-0,016586324;-0,030195408;0,0021951;-0,042391219;-0,021308131;-0,02177036;-0,023315946;0,001968368;-0,012557777
2021-05-05;0,029233886;0,014073578;0,00985261;0,044708173;-0,003745735;0,016380469;0,022066026;0,043737602;0,022780188;0,050201703;0,012552125;0,018626389;0,02845407;0,029737675;0,001680639;0,00730143;0,003121446;0,007594814;0,029969967;0,029177636;0,041650392;0,015733315
2021-05-06;-0,000979545;0,016879132;-0,022457666;0,029257632;-0,001708693;-0,0135923;-0,068442845;-0,036190541;0,016181749;-0,022845097;-0,009090665;-0,001433947;-0,006188843;-0,013792924;0,005033774;0,010388823;0,038755305;-0,022110592;-0,028233583;-0,007731727;-0,008675985;0,002985849
2021-05-07;0,013725533;0,033567045;0,031569132;-0,018243784;0,024991603;0,05;0,00295852;-0,001976271;0,001073564;0,025933257;0,001668093;0,00179555;0,012087984;0,032779762;0,004173318;0,041607046;0,029411503;0,022096603;-0,009190912;0,005194624;-0,005136922;0,017653288
2021-05-10;0,010638183;0,010349691;-0,016201538;0,010371791;0,013026021;-0,000749783;-0,023598964;0,022772284;0,003842658;-0,015894377;-0,013322328;0,004300813;0,014838751;-0,001269506;0,024106583;0,007575765;-0,017460046;-0,034690729;-0,033213519;0,025839767;0,026582534;-0,001057048
2021-05-11;0;0,007064716;-0,007319278;0,008126725;0,007253329;-0,008442854;-0,021147994;-0,003872298;-0,018338819;0,014010466;0,013502209;0,009992905;-0,002139554;0,013559481;-0,001623528;0,014126022;0,06542802;0,006250011;-0,000618905;-0,01259434;0,052347255;0,008653996
